item,suite,condition,sentence,targets,competitors,l_maze,critical_region,region_number,freqlog10,len
3,SVNA-pp,mismatch_plural,The doctors in front of the guard interests people,The|doctors|in|front|of|the|guard|interests|people,x-x-x|puctors|guys|truly|goes|tha|guoys|emcerests|daople,FALSE|TRUE|FALSE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|3|4|5|6|7,5.11650480266873|1.38021124171161|4.65304841597287|2.51587384371168|4.75611098671178|5.11650480266873|2.02530586526477|1.78532983501077|3.0068937079479,3|7|2|5|2|3|5|9|6
3,SVNA-pp,mismatch_sing,The doctor in front of the guards interest people,The|doctor|in|front|of|the|guards|interest|people,x-x-x|ructor|guys|truly|goes|tha|gulcts|uncerers|daople,FALSE|TRUE|FALSE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|3|4|5|6|7,5.11650480266873|1.68124123737559|4.65304841597287|2.51587384371168|4.75611098671178|5.11650480266873|1.44715803134222|2.32014628611105|3.0068937079479,3|6|2|5|2|3|6|8|6
4,SVNA-pp,match_plural,The farmers near the clerk know many people,The|farmers|near|the|clerk|know|many|people,x-x-x|fireers|guys|glad|clewn|knog|cary|pepste,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE,1|2|3|4|5|6|7|7,5.11650480266873|1.64345267648619|2.82412583391655|5.11650480266873|1.14612803567824|2.29225607135648|3.16076856186113|3.0068937079479,3|7|4|3|5|4|4|6
4,SVNA-pp,match_sing,The farmer near the clerks knows many people,The|farmer|near|the|clerks|knows|many|people,x-x-x|fireer|guys|glad|clerns|knone|cary|pepste,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE,1|2|3|4|5|6|7|7,5.11650480266873|1.25527250510331|2.82412583391655|5.11650480266873|1|1.51851393987789|3.16076856186113|3.0068937079479,3|6|4|3|6|5|4|6
4,SVNA-pp,mismatch_plural,The farmers near the clerk knows many people,The|farmers|near|the|clerk|knows|many|people,x-x-x|fireers|guys|glad|clewn|knone|cary|pepste,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE,1|2|3|4|5|6|7|7,5.11650480266873|1.64345267648619|2.82412583391655|5.11650480266873|1.14612803567824|1.51851393987789|3.16076856186113|3.0068937079479,3|7|4|3|5|5|4|6
4,SVNA-pp,mismatch_sing,The farmer near the clerks know many people,The|farmer|near|the|clerks|know|many|people,x-x-x|fireer|guys|glad|clerns|knog|cary|pepste,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE,1|2|3|4|5|6|7|7,5.11650480266873|1.25527250510331|2.82412583391655|5.11650480266873|1|2.29225607135648|3.16076856186113|3.0068937079479,3|6|4|3|6|4|4|6
5,SVNA-pp,match_plural,The managers to the side of the architect like to gamble,The|managers|to|the|side|of|the|architect|like|to|gamble,x-x-x|sunagest|yeah|ha|sile|ef|nor|arquitods|liff|goes|wimble,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|TRUE|TRUE|FALSE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE,1|2|3|3|3|3|4|5|6|7|7,5.11650480266873|1.30102999566398|4.59683891382516|5.11650480266873|2.75511226639507|4.75611098671178|5.11650480266873|1.64345267648619|3.03181227133037|4.59683891382516|0.698970004336019,3|8|2|3|4|2|3|9|4|2|6
5,SVNA-pp,match_sing,The manager to the side of the architects likes to gamble,The|manager|to|the|side|of|the|architects|likes|to|gamble,x-x-x|sunayer|yeah|ha|sile|ef|nor|arquitorne|lokes|goes|wimble,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|TRUE|TRUE|FALSE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE,1|2|3|3|3|3|4|5|6|7|7,5.11650480266873|2.47856649559384|4.59683891382516|5.11650480266873|2.75511226639507|4.75611098671178|5.11650480266873|1.36172783601759|1.27875360095283|4.59683891382516|0.698970004336019,3|7|2|3|4|2|3|10|5|2|6
5,SVNA-pp,mismatch_plural,The managers to the side of the architect likes to gamble,The|managers|to|the|side|of|the|architect|likes|to|gamble,x-x-x|sunagest|yeah|ha|sile|ef|nor|arquitods|lokes|goes|wimble,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|TRUE|TRUE|FALSE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE,1|2|3|3|3|3|4|5|6|7|7,5.11650480266873|1.30102999566398|4.59683891382516|5.11650480266873|2.75511226639507|4.75611098671178|5.11650480266873|1.64345267648619|1.27875360095283|4.59683891382516|0.698970004336019,3|8|2|3|4|2|3|9|5|2|6
5,SVNA-pp,mismatch_sing,The manager to the side of the architects like to gamble,The|manager|to|the|side|of|the|architects|like|to|gamble,x-x-x|sunayer|yeah|ha|sile|ef|nor|arquitorne|liff|goes|wimble,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|TRUE|TRUE|FALSE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE,1|2|3|3|3|3|4|5|6|7|7,5.11650480266873|2.47856649559384|4.59683891382516|5.11650480266873|2.75511226639507|4.75611098671178|5.11650480266873|1.36172783601759|3.03181227133037|4.59683891382516|0.698970004336019,3|7|2|3|4|2|3|10|4|2|6
6,SVNA-pp,match_plural,The customers across from the athlete enjoy playing tennis,The|customers|across|from|the|athlete|enjoy|playing|tennis,x-x-x|cettowers|forget|yeah|pre|arelene|enyom|spaging|oxygen,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE,1|2|3|3|4|5|6|7|7,5.11650480266873|1.30102999566398|2.64738297011462|3.96520170102591|5.11650480266873|1.54406804435028|1.53147891704226|2.53529412004277|1.60205999132796,3|9|6|4|3|7|5|7|6
6,SVNA-pp,match_sing,The customer across from the athletes enjoys playing tennis,The|customer|across|from|the|athletes|enjoys|playing|tennis,x-x-x|cettower|forget|yeah|pre|arelerds|enjads|spaging|oxygen,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE,1|2|3|3|4|5|6|7|7,5.11650480266873|1.25527250510331|2.64738297011462|3.96520170102591|5.11650480266873|2.02118929906994|1.04139268515823|2.53529412004277|1.60205999132796,3|8|6|4|3|8|6|7|6
6,SVNA-pp,mismatch_plural,The customers across from the athlete enjoys playing tennis,The|customers|across|from|the|athlete|enjoys|playing|tennis,x-x-x|cettowers|forget|yeah|pre|arelene|enjads|spaging|oxygen,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE,1|2|3|3|4|5|6|7|7,5.11650480266873|1.30102999566398|2.64738297011462|3.96520170102591|5.11650480266873|1.54406804435028|1.04139268515823|2.53529412004277|1.60205999132796,3|9|6|4|3|7|6|7|6
6,SVNA-pp,mismatch_sing,The customer across from the athletes enjoy playing tennis,The|customer|across|from|the|athletes|enjoy|playing|tennis,x-x-x|cettower|forget|yeah|pre|arelerds|enyom|spaging|oxygen,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE,1|2|3|3|4|5|6|7|7,5.11650480266873|1.25527250510331|2.64738297011462|3.96520170102591|5.11650480266873|2.02118929906994|1.53147891704226|2.53529412004277|1.60205999132796,3|8|6|4|3|8|5|7|6
7,SVNA-pp,match_plural,The officers next to the actor are good,The|officers|next|to|the|actor|are|good,x-x-x|uscicers|wild|ha|ble|accar|ars|goud,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|4|5|6|7,5.11650480266873|2.30102999566398|2.79098847508882|4.59683891382516|5.11650480266873|2.24797326636181|3.67348169707335|2.65224634100332,3|8|4|2|3|5|3|4
7,SVNA-pp,match_sing,The officer next to the actors is good,The|officer|next|to|the|actors|is|good,x-x-x|uscicer|wild|ha|ble|awbors|os|goud,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|4|5|6|7,5.11650480266873|2.22530928172586|2.79098847508882|4.59683891382516|5.11650480266873|2.05307844348342|4.0678888066854|2.65224634100332,3|7|4|2|3|6|2|4
7,SVNA-pp,mismatch_plural,The officers next to the actor is good,The|officers|next|to|the|actor|is|good,x-x-x|uscicers|wild|ha|ble|accar|os|goud,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|4|5|6|7,5.11650480266873|2.30102999566398|2.79098847508882|4.59683891382516|5.11650480266873|2.24797326636181|4.0678888066854|2.65224634100332,3|8|4|2|3|5|2|4
7,SVNA-pp,mismatch_sing,The officer next to the actors are good,The|officer|next|to|the|actors|are|good,x-x-x|uscicer|wild|ha|ble|awbors|ars|goud,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|TRUE|TRUE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|4|5|6|7,5.11650480266873|2.22530928172586|2.79098847508882|4.59683891382516|5.11650480266873|2.05307844348342|3.67348169707335|2.65224634100332,3|7|4|2|3|6|3|4
8,SVNA-pp,match_plural,The teachers behind the minister are good,The|teachers|behind|the|minister|are|good,x-x-x|learkers|behere|thu|sininder|ags|ha,FALSE|TRUE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|4|5|6|7,5.11650480266873|1.65321251377534|2.54530711646582|5.11650480266873|2.25767857486918|3.67348169707335|2.65224634100332,3|8|6|3|8|3|4
8,SVNA-pp,match_sing,The teacher behind the ministers is good,The|teacher|behind|the|ministers|is|good,x-x-x|foucher|behere|thu|siningers|os|ha,FALSE|TRUE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|4|5|6|7,5.11650480266873|1.88649072517248|2.54530711646582|5.11650480266873|1.57978359661681|4.0678888066854|2.65224634100332,3|7|6|3|9|2|4
8,SVNA-pp,mismatch_plural,The teachers behind the minister is good,The|teachers|behind|the|minister|is|good,x-x-x|learkers|behere|thu|sininder|os|ha,FALSE|TRUE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|4|5|6|7,5.11650480266873|1.65321251377534|2.54530711646582|5.11650480266873|2.25767857486918|4.0678888066854|2.65224634100332,3|8|6|3|8|2|4
8,SVNA-pp,mismatch_sing,The teacher behind the ministers are good,The|teacher|behind|the|ministers|are|good,x-x-x|foucher|behere|thu|siningers|ags|ha,FALSE|TRUE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|4|5|6|7,5.11650480266873|1.88649072517248|2.54530711646582|5.11650480266873|1.57978359661681|3.67348169707335|2.65224634100332,3|7|6|3|9|3|4
9,SVNA-pp,match_plural,The senators in front of the actor are good,The|senators|in|front|of|the|actor|are|good,x-x-x|senalast|yeah|snont|ef|them|abbor|ams|cent,FALSE|TRUE|FALSE|TRUE|TRUE|FALSE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|3|4|5|6|7,5.11650480266873|1.34242268082221|4.65304841597287|2.51587384371168|4.75611098671178|5.11650480266873|2.24797326636181|3.67348169707335|2.65224634100332,3|8|2|5|2|3|5|3|4
9,SVNA-pp,match_sing,The senator in front of the actors is good,The|senator|in|front|of|the|actors|is|good,x-x-x|ponatar|yeah|snont|ef|them|awbors|os|cent,FALSE|TRUE|FALSE|TRUE|TRUE|FALSE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|3|4|5|6|7,5.11650480266873|1.65321251377534|4.65304841597287|2.51587384371168|4.75611098671178|5.11650480266873|2.05307844348342|4.0678888066854|2.65224634100332,3|7|2|5|2|3|6|2|4
9,SVNA-pp,mismatch_plural,The senators in front of the actor is good,The|senators|in|front|of|the|actor|is|good,x-x-x|senalast|yeah|snont|ef|them|abbor|os|cent,FALSE|TRUE|FALSE|TRUE|TRUE|FALSE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|3|4|5|6|7,5.11650480266873|1.34242268082221|4.65304841597287|2.51587384371168|4.75611098671178|5.11650480266873|2.24797326636181|4.0678888066854|2.65224634100332,3|8|2|5|2|3|5|2|4
9,SVNA-pp,mismatch_sing,The senator in front of the actors are good,The|senator|in|front|of|the|actors|are|good,x-x-x|ponatar|yeah|snont|ef|them|awbors|ams|cent,FALSE|TRUE|FALSE|TRUE|TRUE|FALSE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|3|4|5|6|7,5.11650480266873|1.65321251377534|4.65304841597287|2.51587384371168|4.75611098671178|5.11650480266873|2.05307844348342|3.67348169707335|2.65224634100332,3|7|2|5|2|3|6|3|4
10,SVNA-pp,match_plural,The consultants near the secretary are good,The|consultants|near|the|secretary|are|good,x-x-x|connoilants|glad|nor|polmetary|ank|i,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|4|5|6|7,5.11650480266873|0.845098040014257|2.82412583391655|5.11650480266873|2.10037054511756|3.67348169707335|2.65224634100332,3|11|4|3|9|3|4
10,SVNA-pp,match_sing,The consultant near the secretaries is good,The|consultant|near|the|secretaries|is|good,x-x-x|connoilant|glad|nor|polmetaries|os|i,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|4|5|6|7,5.11650480266873|1.30102999566398|2.82412583391655|5.11650480266873|0|4.0678888066854|2.65224634100332,3|10|4|3|11|2|4
10,SVNA-pp,mismatch_plural,The consultants near the secretary is good,The|consultants|near|the|secretary|is|good,x-x-x|connoilants|glad|nor|polmetary|os|i,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|4|5|6|7,5.11650480266873|0.845098040014257|2.82412583391655|5.11650480266873|2.10037054511756|4.0678888066854|2.65224634100332,3|11|4|3|9|2|4
10,SVNA-pp,mismatch_sing,The consultant near the secretaries are good,The|consultant|near|the|secretaries|are|good,x-x-x|connoilant|glad|nor|polmetaries|ank|i,FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|4|5|6|7,5.11650480266873|1.30102999566398|2.82412583391655|5.11650480266873|0|3.67348169707335|2.65224634100332,3|10|4|3|11|3|4
11,SVNA-pp,match_plural,The guards to the side of the executive are playing tennis,The|guards|to|the|side|of|the|executive|are|playing|tennis,x-x-x|gulcts|ro|pre|dad|i|them|ematutile|ars|imagine|immune,FALSE|TRUE|TRUE|TRUE|FALSE|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE,1|2|3|3|3|3|4|5|6|7|7,5.11650480266873|1.44715803134222|4.59683891382516|5.11650480266873|2.75511226639507|4.75611098671178|5.11650480266873|2.13033376849501|3.67348169707335|2.53529412004277|1.60205999132796,3|6|2|3|4|2|3|9|3|7|6
11,SVNA-pp,match_sing,The guard to the side of the executives is good,The|guard|to|the|side|of|the|executives|is|good,x-x-x|guoys|ro|pre|dad|i|them|emituticed|os|miss,FALSE|TRUE|TRUE|TRUE|FALSE|FALSE|FALSE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|3|3|4|5|6|7,5.11650480266873|2.02530586526477|4.59683891382516|5.11650480266873|2.75511226639507|4.75611098671178|5.11650480266873|1.23044892137827|4.0678888066854|2.65224634100332,3|5|2|3|4|2|3|10|2|4
11,SVNA-pp,mismatch_plural,The guards to the side of the executive is playing tennis,The|guards|to|the|side|of|the|executive|is|playing|tennis,x-x-x|gulcts|ro|pre|dad|i|them|ematutile|os|imagine|immune,FALSE|TRUE|TRUE|TRUE|FALSE|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE,1|2|3|3|3|3|4|5|6|7|7,5.11650480266873|1.44715803134222|4.59683891382516|5.11650480266873|2.75511226639507|4.75611098671178|5.11650480266873|2.13033376849501|4.0678888066854|2.53529412004277|1.60205999132796,3|6|2|3|4|2|3|9|2|7|6
11,SVNA-pp,mismatch_sing,The guard to the side of the executives are good,The|guard|to|the|side|of|the|executives|are|good,x-x-x|guoys|ro|pre|dad|i|them|emituticed|ars|miss,FALSE|TRUE|TRUE|TRUE|FALSE|FALSE|FALSE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|3|3|4|5|6|7,5.11650480266873|2.02530586526477|4.59683891382516|5.11650480266873|2.75511226639507|4.75611098671178|5.11650480266873|1.23044892137827|3.67348169707335|2.65224634100332,3|5|2|3|4|2|3|10|3|4
12,SVNA-pp,match_plural,The clerks across from the author are good,The|clerks|across|from|the|author|are|good,x-x-x|clelts|forgt|fror|que|awbror|ags|cent,FALSE|TRUE|FALSE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|4|5|6|7,5.11650480266873|1|2.64738297011462|3.96520170102591|5.11650480266873|2.23552844690755|3.67348169707335|2.65224634100332,3|6|6|4|3|6|3|4
12,SVNA-pp,match_sing,The clerk across from the authors is good,The|clerk|across|from|the|authors|is|good,x-x-x|clerd|forge|fror|que|aublars|os|cent,FALSE|TRUE|FALSE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|4|5|6|7,5.11650480266873|1.14612803567824|2.64738297011462|3.96520170102591|5.11650480266873|1.99122607569249|4.0678888066854|2.65224634100332,3|5|6|4|3|7|2|4
12,SVNA-pp,mismatch_plural,The clerks across from the author is good,The|clerks|across|from|the|author|is|good,x-x-x|clelts|forgt|fror|que|awbror|os|cent,FALSE|TRUE|FALSE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|4|5|6|7,5.11650480266873|1|2.64738297011462|3.96520170102591|5.11650480266873|2.23552844690755|4.0678888066854|2.65224634100332,3|6|6|4|3|6|2|4
12,SVNA-pp,mismatch_sing,The clerk across from the authors are good,The|clerk|across|from|the|authors|are|good,x-x-x|clerd|forgt|fror|que|aublars|ags|cent,FALSE|TRUE|FALSE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|4|5|6|7,5.11650480266873|1.14612803567824|2.64738297011462|3.96520170102591|5.11650480266873|1.99122607569249|3.67348169707335|2.65224634100332,3|5|6|4|3|7|3|4
13,SVNA-pp,match_plural,The architects next to the pilot are good,The|architects|next|to|the|pilot|are|good,x-x-x|arquitorne|wild|jo|whe|pirat|ams|hate,FALSE|TRUE|FALSE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|4|5|6|7,5.11650480266873|1.36172783601759|2.79098847508882|4.59683891382516|5.11650480266873|2.01703333929878|3.67348169707335|2.65224634100332,3|10|4|2|3|5|3|4
13,SVNA-pp,match_sing,The architect next to the pilots is good,The|architect|next|to|the|pilots|is|good,x-x-x|arquitorm|wild|jo|whe|pirats|os|hate,FALSE|TRUE|FALSE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|4|5|6|7,5.11650480266873|1.64345267648619|2.79098847508882|4.59683891382516|5.11650480266873|1.66275783168157|4.0678888066854|2.65224634100332,3|9|4|2|3|6|2|4
13,SVNA-pp,mismatch_plural,The architects next to the pilot is good,The|architects|next|to|the|pilot|is|good,x-x-x|arquitorne|wild|jo|whe|pirat|os|hate,FALSE|TRUE|FALSE|TRUE|TRUE|TRUE|TRUE|FALSE,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE,1|2|3|3|4|5|6|7,5.11650480266873|1.36172783601759|2.79098847508882|4.59683891382516|5.11650480266873|2.01703333929878|4.0678888066854|2.65224634100332,3|10|4|2|3|5|2|4
